Reg No,Job role that you are interested in,Min salary,Max salary,Median salary,highest paying company,Contribution in Ex-curricular,Tech competence,Package exp,CIA of last sem,GPA of last sem,max attendance till last sem,Intern Interest
72,Data Scientist,"3,00,000","22,00,000","5,00,000",DE Shaw,4,3,"7,00,000",86.67,8.9,90%,Research
73,Software Engineer,10,15,5,Capgemini,4,3,25,80%,8.14,70,Research
74,Data Scientist,4LPA,12LPA,8LPA,Deolite,3,3,9LPA,86%,03-May,90,Industry
75,Software Engineer,3,32,4,Capgemini,2,4,6,90,8,82,Industry
76,Data Scientist,6 LPA,20 LPA,12 LPA,DE Shaw,3,3,10 - 14 LPA,78,9.03,99,Industry
77,Software Engineer,"5,00,000","34,00,000","9,00,000",DE Shaw,4,3,"6,50,000",66,3.4,95,Industry
78,Software Engineer,5,15,8,EY,3,4,9,79,3.89,100,Industry
79,Data Engineer,6,22,10,DE Shaw,3,3,20,70,9,85,Industry
80,Business Analyst,11.5  LPA,33 LPA,24. 3 LPA,DE Shaw,3,4,27 LPA,82,8.7,89,Industry
81,Software Engineer,250000,1200000,600000,DE Shaw,5,4,800000,95,92,85,Research
82,Software Engineer,5,20,10,Deolite,2,4,7,85,3.6,100,Industry
83,Data Scientist,4.5,15,6,Deolite,3,4,8,80,3.6,100,Industry
84,Software Engineer,4,15,8,Capgemini,5,4,10,85%,8.75,95%,Industry
85,Data Scientist,400000,700000,500000,EY,3,3,400000,89,9,90,Industry
86,Business Analyst,2000000,4000000,3000000,EY,4,3,3000000,95,9.25,100,Industry
87,,,,,,,,,,,,
88,Data Scientist,10,20,15,Deolite,4,4,14,60,60,93,Industry
89,Business Analyst,10,20,13,Capgemini,3,3,15,62,63,93,Industry
90,Data Scientist,8,18,13,Deolite,3,3,15,60,60,93,None
91,Data Scientist,3,24,6,Deolite,5,5,20,65%,70%,98%,None
92,Data Engineer,5,18,9,DE Shaw,3,3,10,80%,80%,80%,None
93,Business Analyst,4,20,6,Capgemini,2,2,7,56%,65%,83%,Industry
94,Software Engineer,2,15,8,EY,4,4,8,60%,75%,95%,Research
95,Data Scientist,4,24,6,DE Shaw,4,4,8,70%,70%,98%,None
96,Data Scientist,6,10,7,EY,5,4,6,67,89,,Industry
